lake,date,month,day,year,time,tow,proc_date,id,total_vol,subsample_vol,subsample,family,number
MCD,2018-06-05,6,5,2018,Night,3,10/1/2018,Matt,100,1,3,Bosminidae,110
MCD,2018-06-05,6,5,2018,Night,2,10/24/2018,Matt,100,1,3,Bosminidae,114
MCD,2018-06-05,6,5,2018,Night,3,10/1/2018,Matt,100,1,1,Bosminidae,117
MCD,2018-06-05,6,5,2018,Night,3,10/1/2018,Matt,100,1,2,Bosminidae,117
MCD,2018-06-05,6,5,2018,Night,2,10/24/2018,Matt,100,1,1,Bosminidae,132
MCD,2018-06-05,6,5,2018,Night,2,10/24/2018,Matt,100,1,2,Bosminidae,136
SB,2018-06-07,6,7,2018,Night,2,1/6/2019,Matt,100,1,1,Bosminidae,10
SB,2018-06-07,6,7,2018,Night,1,1/2/2019,Matt,100,1,1,Bosminidae,13
SB,2018-06-07,6,7,2018,Night,2,1/6/2019,Matt,100,1,2,Bosminidae,13
SB,2018-06-07,6,7,2018,Night,1,1/2/2019,Matt,100,1,3,Bosminidae,15
SB,2018-06-07,6,7,2018,Night,1,1/2/2019,Matt,100,1,2,Bosminidae,17
SB,2018-06-07,6,7,2018,Night,2,1/6/2019,Matt,100,1,3,Bosminidae,19
SB,2018-06-07,6,7,2018,Night,3,1/11/2019,Matt,100,1,2,Bosminidae,28
SB,2018-06-07,6,7,2018,Night,3,1/11/2019,Matt,100,1,3,Bosminidae,28
SB,2018-06-07,6,7,2018,Night,3,1/11/2019,Matt,100,1,1,Bosminidae,31
MCD,2018-06-07,6,7,2018,Day,3,1/12/2019,Matt,100,1,1,Bosminidae,32
MCD,2018-06-07,6,7,2018,Day,3,1/12/2019,Matt,100,1,2,Bosminidae,37
MCD,2018-06-07,6,7,2018,Day,3,1/12/2019,Matt,100,1,3,Bosminidae,40
MCD,2018-06-07,6,7,2018,Day,2,1/2/2019,Matt,100,1,2,Bosminidae,75
MCD,2018-06-07,6,7,2018,Day,2,7/23/2018,Matt,100,1,1,Bosminidae,78
MCD,2018-06-07,6,7,2018,Day,1,1/9/2019,Matt,100,1,2,Bosminidae,93
MCD,2018-06-07,6,7,2018,Day,1,1/9/2019,Matt,100,1,3,Bosminidae,99
MCD,2018-06-07,6,7,2018,Day,1,1/9/2019,Matt,100,1,1,Bosminidae,103
MCD,2018-06-07,6,7,2018,Day,2,1/2/2019,Matt,100,1,1,Bosminidae,113
MCD,2018-06-12,6,12,2018,Night,2,1/10/2019,Matt,100,1,3,Bosminidae,9
MCD,2018-06-12,6,12,2018,Night,2,1/10/2019,Matt,100,1,2,Bosminidae,11
MCD,2018-06-12,6,12,2018,Night,3,1/11/2019,Matt,100,1,3,Bosminidae,11
MCD,2018-06-12,6,12,2018,Night,1,10/24/2018,Matt,100,1,1,Bosminidae,12
MCD,2018-06-12,6,12,2018,Night,3,1/11/2019,Matt,100,1,1,Bosminidae,12
MCD,2018-06-12,6,12,2018,Night,1,10/24/2018,Matt,100,1,2,Bosminidae,13
MCD,2018-06-12,6,12,2018,Night,1,10/24/2018,Matt,100,1,3,Bosminidae,13
MCD,2018-06-12,6,12,2018,Night,3,1/11/2019,Matt,100,1,2,Bosminidae,14
MCD,2018-06-12,6,12,2018,Night,2,1/10/2019,Matt,100,1,1,Bosminidae,15
